Name,G,Name-additional
Livan Soto,18,sotoli01
Spencer Steer,45,steersp01
Cal Stevenson,23,steveca01
Levi Stoudt,0,stoudle01
Brett Sullivan,2,sullibr01
Travis Swaggerty,5,swaggtr01
Thomas Szapucki,1,szaputh01
Freddy Tarnok,0,tarnofr01
Jackson Tetreault,0,tetreja01
Cody Thomas,10,thomaco01
Michael Toglia,31,toglimi01
Justin Topa,5,topaju01
Ezequiel Tovar,27,tovarez01
Tanner Tully,0,tullyta01
Brice Turang,19,turanbr02
Kyle Tyler,1,tylerky01
Enmanuel Valdez,1,valdeen01
Carlos Vargas,0,vargaca01
Miguel Vargas,37,vargami01
Gus Varland,0,varlagu01
Louie Varland,0,varlalo01
Cam Vieaux,0,vieauca01
Mark Vientos,16,vientma01
Anthony Volpe,20,volpean01
Cole Waites,0,waiteco01
Ken Waldichuk,0,waldike01
Jordan Walker,19,walkejo02
Steele Walker,5,walkest01
Matt Wallner,24,wallnma01
Jake Walsh,0,walshja02
Nash Walters,0,waltena01
Thaddeus Ward,0,wardth01
Zack Weiss,1,weissza01
Greg Weissert,0,weissgr01
Joey Wentz,0,wentzjo01
Hayden Wesneski,0,wesneha01
Aaron Whitefield,8,whiteaa01
Joey Wiemer,19,wiemejo01
Marcus Wilson,3,wilsoma02
Brett Wisely,5,wiselbr01
Simeon Woods Richardson,0,woodssi01
William Woods,0,woodswi02
Masataka Yoshida,15,yoshima02
Danny Young,0,youngda02
Jared Young,6,youngja02
Aneurys Zabala,0,zabalan01
Angel Zerpa,0,zerpaan01
