name_last,name_first,key_bbref,full_name
alaniz,r. j.,alanirj01,r. j. alaniz
alba,gibson,albagi01,gibson alba
albaladejo,jonathan,albaljo01,jonathan albaladejo
albanese,joe,albanjo01,joe albanese
alberro,jose,alberjo01,jose alberro
albers,andrew,alberan01,andrew albers
albers,matt,alberma01,matt albers
albert,jeff,,jeff albert
alberto,hanser,alberha01,hanser alberto
alberts,butch,alberbu01,butch alberts
alberts,gus,albergu01,gus alberts
alberts,cy,albercy01,cy alberts
albertson,johnny,alberjo02,johnny albertson
albies,ozzie,albieoz01,ozzie albies
albosta,ed,albosed01,ed albosta
albrecht,ed,albreed01,ed albrecht
albright,jack,albrija01,jack albright
albright,thomas,albrith01,thomas albright
albritton,alex,albrial01,alex albritton
alburquerque,al,albural01,al alburquerque
albury,vic,alburvi01,vic albury
alcala,santo,alcalsa01,santo alcala
alcala,jorge,alcaljo01,jorge alcala
alcantara,israel,alcanis01,israel alcantara
alcantara,sandy,alcansa01,sandy alcantara
alcaraz,luis,alcarlu01,luis alcaraz
alcock,scotty,alcocsc01,scotty alcock
alcántara,victor,alcanvi01,victor alcántara
alcántara,arismendy,alcanar01,arismendy alcántara
alcántara,sergio,alcanse01,sergio alcántara
alcántara,raúl,alcanra01,raúl alcántara
alderson,dale,alderda01,dale alderson
aldred,scott,aldresc01,scott aldred
aldrete,mike,aldremi01,mike aldrete
aldrich,jay,aldrija01,jay aldrich
aldridge,vic,aldrivi01,vic aldridge
aldridge,cory,aldrico01,cory aldridge
alejo,bob,,bob alejo
aleno,chuck,alenoch01,chuck aleno
alexander,walt,alexawa01,walt alexander
alexander,chuffy,alexach01,chuffy alexander
alexander,gerald,alexage01,gerald alexander
alexander,spencer,alexasp01,spencer alexander
alexander,nin,alexani01,nin alexander
alexander,hugh,alexahu01,hugh alexander
alexander,dale,alexada01,dale alexander
alexander,koke,alexako01,koke alexander
alexander,pete,alexape01,pete alexander
alexander,gary,alexaga01,gary alexander
alexander,doyle,alexado01,doyle alexander
alexander,tyler,alexaty01,tyler alexander
alexander,bob,alexabo01,bob alexander
alexander,scott,alexasc02,scott alexander
alexander,buck,alexabu01,buck alexander
alexander,jason,alexaja01,jason alexander
alexander,ted,alexate01,ted alexander
alexander,matt,alexama01,matt alexander
alexander,manny,alexama02,manny alexander
alexy,a. j.,alexyaj01,a. j. alexy
alfaro,jason,alfarja01,jason alfaro
alfaro,jorge,alfarjo01,jorge alfaro
alfonseca,antonio,alfonan01,antonio alfonseca
alfonso,carlos,,carlos alfonso
alfonso,ángel,alfonan02,ángel alfonso
alfonzo,edgardo,alfoned01,edgardo alfonzo
alfonzo,eliezer,alfonel01,eliezer alfonzo
alford,anthony,alforan01,anthony alford
alicea,luis,alicelu01,luis alicea
allaire,bob,,bob allaire
allanson,andy,allanan01,andy allanson
allard,kolby,allarko01,kolby allard
allard,brian,allarbr01,brian allard
alldred,cam,alldrca01,cam alldred
allen,frank,allenfr01,frank allen
allen,cliney,allencl01,cliney allen
allen,cody,allenco01,cody allen
allen,todd,allento02,todd allen
allen,myron,allenmy01,myron allen
allen,bob,allenbo01,bob allen
allen,clifford,allencl02,clifford allen
allen,bob,allenbo02,bob allen
allen,horace,allenho01,horace allen
allen,johnny,allenjo02,johnny allen
allen,alex,allenal01,alex allen
allen,kim,allenki01,kim allen
allen,john,allenjo01,john allen
allen,buddy,allenbu01,buddy allen
allen,lloyd,allenll01,lloyd allen
allen,half pint,allenha03,half pint allen
allen,newt,allenne02,newt allen
allen,pete,allenpe01,pete allen
allen,jack,allenja01,jack allen
allen,nick,allenni01,nick allen
allen,dick,allendi01,dick allen
allen,neil,allenne01,neil allen
allen,earl,allenbo03,earl allen
allen,chad,allench01,chad allen
allen,ethan,allenet01,ethan allen
allen,hezekiah,allenhe01,hezekiah allen
allen,austin,allenau01,austin allen
allen,bob,allenbo04,bob allen
allen,dusty,allendu01,dusty allen
allen,ham,allenha01,ham allen
allen,sled,allensl01,sled allen
allen,bernie,allenbe01,bernie allen
allen,toussaint,allento01,toussaint allen
allen,rod,allenro02,rod allen
allen,jamie,allenja02,jamie allen
allen,brandon,allenbr01,brandon allen
allen,ron,allenro01,ron allen
allen,hosea,allenho02,hosea allen
allen,luke,allenlu01,luke allen
allen,logan,allenlo01,logan allen
allen,greg,allengr01,greg allen
allen,nick,allenni02,nick allen
allen,hank,allenha02,hank allen
allenson,gary,allenga01,gary allenson
allensworth,jermaine,allenje01,jermaine allensworth
alley,gene,alleyge01,gene alley
allgeyer,nick,allgeni01,nick allgeyer
allie,gair,alliega01,gair allie
allietta,bob,alliebo01,bob allietta
allison,milo,allismi01,milo allison
allison,,allis02,
allison,dana,allisda01,dana allison
allison,bob,allisbo01,bob allison
allison,bill,allisbi01,bill allison
allison,art,allisar01,art allison
allison,mack,allisma01,mack allison
allison,moody,allismo01,moody allison
allison,andy,allisan01,andy allison
allison,doug,allisdo01,doug allison
allred,beau,allrebe01,beau allred
almada,mel,almadme01,mel almada
almada,lou,,lou almada
almanza,armando,almanar01,armando almanza
almanzar,carlos,almanca01,carlos almanzar
almeida,rafael,almeira01,rafael almeida
almon,bill,almonbi01,bill almon
almonte,erick,almoner01,erick almonte
almonte,edwin,almoned01,edwin almonte
almonte,yency,almonye01,yency almonte
almonte,abraham,almonab01,abraham almonte
almonte,miguel,almonmi01,miguel almonte
almonte,zoilo,almonzo01,zoilo almonte
almonte,hector,almonhe01,hector almonte
almora,albert,almoral01,albert almora
aloma,luis,alomalu01,luis aloma
alomar,roberto,alomaro01,roberto alomar
alomar,sandy,alomasa02,sandy alomar
alomar,sandy,alomasa01,sandy alomar
alonso,rogelio,alonsro01,rogelio alonso
alonso,yonder,alonsyo01,yonder alonso
alonso,pete,alonspe01,pete alonso
