name_last,name_first,bpid,key_mlbam,key_bbref,key_fangraphs,mlb_played_last
Addy,Bob,18339,110074,addybo01,1000070,1877
Adell,Jo,109295,666176,adelljo01,20220,2021
Adenhart,Nick,45633,444440,adenhni01,6879,2009
Aderholt,Morrie,18340,110075,aderhmo01,1000071,1945
Adkins,Dewey,18341,110077,adkinde01,1000072,1949
Adkins,Dick,18342,110079,adkindi01,1000073,1942
Adkins,Doc,18343,110078,adkindo01,1000074,1903
Adkins,Grady,18344,110076,adkingr01,1000075,1929
Adkins,Jon,31769,424668,adkinjo01,1799,2008
Adkins,Steve,18116,110080,adkinst01,1000077,1990
Adleman,Tim,65945,534947,adlemti01,10968,2017
,,,-1,,-1,
Adlesh,Dave,18346,110082,adlesda01,1000078,1968
Adon,Joan,109297,672851,adonjo01,22925,2021
Adrianza,Ehire,50677,501303,adriaeh01,8418,2021
Afenir,Troy,18347,110083,afenitr01,1000079,1992
Affeldt,Jeremy,1354,346793,affelje01,583,2015
Agbayani,Benny,1300,133742,agbaybe01,416,2002
Agee,Tommie,18348,110084,ageeto01,1000080,1973
Agganis,Harry,18349,110085,agganha01,1000081,1955
Agler,Joe,18350,110086,aglerjo01,1000082,1915
Agnew,Sam,18351,110087,agnewsa01,1000083,1919
Agosto,Juan,17738,110088,agostju01,1000084,1993
Agrazal,Dario,103111,642607,agrazda01,15821,2019
Aguayo,Luis,18352,110089,aguaylu01,1000085,1989
Aguila,Chris,31902,430894,aguilch01,2143,2008
Aguilar,Jesus,59871,542583,aguilje01,11342,2021
Aguilar,Miguel,100458,620396,aguilmi01,19246,2021
Aguilera,Rick,16669,110090,aguilri01,1000086,2000
Aguirre,Hank,18353,110091,aguirha01,1000087,1970
Ahearn,Bill,18354,110092,ahearch01,1000088,1880
Ahearne,Pat,16670,110093,ahearpa01,1000089,1995
Ahmed,Nick,69508,605113,ahmedni01,12147,2021
Aikens,Willie,18355,110094,aikenwi01,1000090,1985
Ainge,Danny,18356,110095,aingeda01,1000091,1981
Ainsmith,Eddie,18357,110096,ainsmed01,1000092,1924
Ainsworth,Kurt,432,215128,ainswku01,1431,2004
Aitchison,Raleigh,18358,110097,aitchra01,1000093,1915
Aiton,George,18359,110098,aitonge01,1000094,1912
